¿Cuántas horas al día dedicas al consumo de contenido digital?,¿Cuál es tu plataforma digital favorita para consumir contenido?,"¿Con qué frecuencia ves videos en plataformas de streaming (YouTube, Netflix, etc.)?","¿Prefieres contenido en video, audio, texto o imágenes?",¿Cuáles son tus temas favoritos para consumir contenido?,¿Qué dispositivos usas con mayor frecuencia para consumir contenido digital?,¿Estás dispuesto/a a pagar por contenido digital premium?,Describe una experiencia memorable que hayas tenido al consumir contenido digital.,¿Qué recomendarías para mejorar la calidad del contenido digital que consumes actualmente?
3 - 4 horas,XHamster ,Varias veces al día,Video,el pirata de culiacan cuando andaba pedo,Teléfono móvil,Depende del contenido,"una vez me puse bien locote y andaba viendo las babosadas del don pollo y zas, que me chingue la puerta de mi closet ",que sean originales y que culo con sueño no tiene dueño 😈
4 o más horas,Instagram,Varias veces al día,Video,Videojuegos ,Teléfono móvil,Sí,Llegar a ver contenido indeseado por accidente ,Que se esfuercen por tocar temas más importantes y no solo relleno 
3 - 4 horas,TikTok,Diario,Video,"Chismes,Maquillaje,Animales",Teléfono móvil,Sí,Ubicas los videos de Farid haciendo resúmenes de películas pues esos meros ,Ver otro tipo de contenido
1 - 2 horas,Twitch,Diario,Video,Videojuegos,Teléfono móvil,Sí,Estar viendo con mis amigos la velada del año,Que no haya tantos anuncios 
3 - 4 horas,Tiktok,Ocasionalmente,Video,"Autos, video juegos y cocina",Teléfono móvil,No,Aprendí a cocinar platillos que se me hacían difíciles,Buscar temas específicos de los que me llaman la atención
Menos de 1 hora (<1h),Mercado libre,Diario,Video,Entretenimiento ,Teléfono móvil,Sí,Disfruto ver películas ,Que bajen de precio 
4 o más horas,Comunidad del Saber,Varias veces al día,Video,Educativos,Computadora escritorio,Depende del contenido,Temas educativos desconocidos de ramas holisticas,Inclinar contenidos hacia mejorar reconstrucción tejido social
4 o más horas,Youtube ,Diario,Video,Varios,Teléfono móvil,No,Información ,Información con veracidad
Menos de 1 hora (<1h),Tik tok,Ocasionalmente,Video,"Comedia, recetas, videos de mascotas",Teléfono móvil,No,Ninguna,Más filtros en las plataformas 
4 o más horas,IA,Ocasionalmente,Video,"Cine: Historia, arte",Laptop,Depende del contenido,Ningúna ,No se
Menos de 1 hora (<1h),Netflix ,Diario,Video,"Películas románticas, documentales",Ipad,Depende del contenido,He aprendido de las antiguas civilizaciones,Nada
3 - 4 horas,Facebook,Ocasionalmente,Video,Videos cristianos y politica,Teléfono móvil,Sí,no revuerdo,Que no haya anuncios 
3 - 4 horas,Facebook youtube ,Varias veces al día,Video,"Moda, musica ",Smart TV,Depende del contenido,Hasta el momento ninguna me ha sorprendido ,Mejor sonido 
3 - 4 horas,FB wsp Instagram YouTube ,Varias veces al día,Video,"Películas, recetas de cocina y chats",Teléfono móvil,No,Muchos anuncios ,Que eliminen comerciales
4 o más horas,Celular,Diario,Texto,De todo,Teléfono móvil,No,Ninguna,Actualizarse constantemente 
3 - 4 horas,Netflix ,Diario,Imágenes,Películas ,Smart TV,Depende del contenido,Buena,Actualizarse
3 - 4 horas,Faceboo,Diario,Video,Música ,Teléfono móvil,No,Conocimiento general ,Todo bien 
4 o más horas,Facebook ,Diario,Video,Salud cocina,Teléfono móvil,No,Mercadotecnia en mi negocio,Contenidos más constructivos 
1 - 2 horas,Netflix,Diario,Video,Cosas bonitas,Smart TV,No,Me entretiene ver peliculas,Que hagan mas facil la busqueda de contenido
1 - 2 horas,Facebook ,Ocasionalmente,Video,Música reflexión ,Teléfono móvil,Depende del contenido,Trasmite tranquilidad,Contenido q contenga los valores más acertados
1 - 2 horas,No tengo favorito,Varias veces al día,Video,Salud y recetas de cocina ,Teléfono móvil,Depende del contenido,Recetas fáciles y económicas ,Me gusta así 
1 - 2 horas,Facebook ,Diario,Video,Animes ,Laptop,Depende del contenido,Me entretengo mucho y aparte aorendo,Que sea más rapido
4 o más horas,"Google classroom, microsoft teams, etc. ",Diario,Video,Educativos,Laptop,Depende del contenido,Realizar exámenes en kahoot,La información 
4 o más horas,Youtube,Diario,Video,"Videojuegos, casos reales (acontecimientos históricos, importantes, crímenes)",Teléfono móvil,Depende del contenido,Tiempo de convivencia con familiares.,"Regular/disminuir la cantidad de anuncios y en qué momento colocarlo, pues pueden ser un gran distractor."
4 o más horas,YouTube ,Diario,Video,"Comida, música, ejercicio ",Teléfono móvil,No,Aprendes aver cosas nuevas ,Si
1 - 2 horas,Facebook,Varias veces al día,Video,Kdramas,Teléfono móvil,No,Conocimiento ,Menos anuncios
3 - 4 horas,Instagram ,Diario,Video,Deportes ,Teléfono móvil,Depende del contenido,G,Jd
4 o más horas,Tik tok face,Ocasionalmente,Video,"Salud, cuidado de la piel",Teléfono móvil,Sí,Por mi perfil tengo que preparame para yo poder aterrizar ideas y bajar información a mi personal,"Que sean más concretos  menos anuncios, más ejemplos pero eso si sustentados en algo oficial.por así llamarle."
1 - 2 horas,Tamaulipas Ahora,Diario,Video,Desarrollo regional,Laptop,Sí,Aprendizajes diversos,Que lo hagan los especialistas
4 o más horas,Youtube,Diario,Video,Salud,Smart TV,No,Ninguna,Nada
3 - 4 horas,Google ,Diario,Video,"Educación, cultura, espiritualidad ",Teléfono móvil,No,Acceso a documentales,Menos anuncios y publicidad 
1 - 2 horas,Facebook ,Diario,Video,Música ,Teléfono móvil,No,Aprendo de libros ,Menos anuncios 
3 - 4 horas,Youtube,Ocasionalmente,Audio,Cocina,Tablet,No,Recetas de ensaladas,Recetas para diabeticos
1 - 2 horas,Google,Diario,Video,Salud y educacion. ,Teléfono móvil,Depende del contenido,Cuando me dicem qué mi hijo tiene tda y descubro en Facebook un taller sobre alimentación para niños con tda y autismo. Es fabuloso y me ha ayudado en gran medida  ,Restricciones más amplias y seguras para niños 
Menos de 1 hora (<1h),Mercado libre ,Nunca,Video,Casa,Teléfono móvil,No,Responsables con la entrega,Envío gratis 
3 - 4 horas,Facebook ,Diario,Video,Arreglo personal ,Teléfono móvil,No,Ningúna,Actualización 
4 o más horas,Facebook,Diario,Video,"Crecimiento persinal, recetas ",Teléfono móvil,Sí,Netflix me gustan las series yo ,Yo solo veo cosas padres 
4 o más horas,youtube,Varias veces al día,Video,"libros, videojuegos y musica",Teléfono móvil,No,Recuerdo ver digimon tamers de pequeño con mi hermano mayor.,escuchar recomendaciones de mi entorno
4 o más horas,Youtube,Varias veces al día,Video,Videojuegos,Laptop,Depende del contenido,Un video ensayo de 4 horas analizando el videojuego zelda: tears of the kingdom,Si
3 - 4 horas,Facebook,Diario,Video,"Innovación, tecnología, comedia y relajación ",Teléfono móvil,Depende del contenido,"Cuándo encontré el único tutorial para una practica, era en inglés hecho por alguien de Bangladesh",Reducir el relleno o evitar la inflamación irrelevante
4 o más horas,Youtube,Diario,Video,Videojuegos,Laptop,Depende del contenido,Fui feliz,Menos contenido basura
1 - 2 horas,youtube,Diario,Audio,"humoristico, política, historia ",Teléfono móvil,Depende del contenido,"Ví un video de youtube con una calidad muy buena, con un soundtrack hermoso, la combinación visual y musical fue mas allá de lo común.","Mejorar los estándares de contenido: audio, temática, fotografía "
4 o más horas,Youtube,Varias veces al día,Video,"Videojuegos, anime",Laptop,Depende del contenido,Recientemente me he emocionado mucho y he convivido con amigos gracias a la serie de Arcane,"Nada
"
1 - 2 horas,Youtube,Diario,Audio,"Tecnología, viajes, aesthetic life",Teléfono móvil,Sí,Platicar del tema con gente de mi círculo social,Apoyar aquello que nos gusta
